"Model","Region","Scenario","Year","Item","Variable","value"
"FAO","EUR","FAO Historical","2000","Maize","YILD",5.067604058716
"FAO","IND","FAO Historical","2000","Maize","YILD",1.821608458
"FAO","OSA","FAO Historical","2000","Maize","YILD",2.94825876539125
"FAO","SEA","FAO Historical","2000","Maize","YILD",2.55482788494747
"FAO","SSA","FAO Historical","2000","Maize","YILD",1.62481127918669
"FAO","USA","FAO Historical","2000","Maize","YILD",8.591022285
"FAO","WLD","FAO Historical","2000","Maize","YILD",4.324770939
"FAO","ANZ","FAO Historical","2001","Maize","YILD",5.73349155061859
"FAO","BRA","FAO Historical","2001","Maize","YILD",3.402615022
"FAO","CHN","FAO Historical","2001","Maize","YILD",4.6998705
"FAO","EUR","FAO Historical","2001","Maize","YILD",6.1453460673079
"FAO","IND","FAO Historical","2001","Maize","YILD",1.999574565
"FAO","OSA","FAO Historical","2001","Maize","YILD",2.95701476329202
"FAO","SEA","FAO Historical","2001","Maize","YILD",2.67025513686331
"FAO","SSA","FAO Historical","2001","Maize","YILD",1.5435475427104
"FAO","USA","FAO Historical","2001","Maize","YILD",8.673282292
"FAO","WLD","FAO Historical","2001","Maize","YILD",4.475975606
"FAO","ANZ","FAO Historical","2002","Maize","YILD",6.20288498134022
"FAO","BRA","FAO Historical","2002","Maize","YILD",3.057893438
"FAO","CHN","FAO Historical","2002","Maize","YILD",4.873618104
"FAO","EUR","FAO Historical","2002","Maize","YILD",6.23192679333067
"FAO","IND","FAO Historical","2002","Maize","YILD",1.680687847
"FAO","OSA","FAO Historical","2002","Maize","YILD",3.11011550282294
"FAO","SEA","FAO Historical","2002","Maize","YILD",2.78266867586323
"FAO","SSA","FAO Historical","2002","Maize","YILD",1.55276829935345
"FAO","USA","FAO Historical","2002","Maize","YILD",8.117905491
"FAO","WLD","FAO Historical","2002","Maize","YILD",4.386109263
"FAO","ANZ","FAO Historical","2003","Maize","YILD",7.42558486758045
"FAO","BRA","FAO Historical","2003","Maize","YILD",3.727327102
"FAO","CHN","FAO Historical","2003","Maize","YILD",4.814657618
"FAO","EUR","FAO Historical","2003","Maize","YILD",5.07098206551411
"FAO","IND","FAO Historical","2003","Maize","YILD",2.040512569
"FAO","OSA","FAO Historical","2003","Maize","YILD",3.22328848713244
"FAO","SEA","FAO Historical","2003","Maize","YILD",2.96566755404213
"FAO","SSA","FAO Historical","2003","Maize","YILD",1.43227602521949
"FAO","USA","FAO Historical","2003","Maize","YILD",8.924569337
"FAO","WLD","FAO Historical","2003","Maize","YILD",4.458633811
"FAO","ANZ","FAO Historical","2004","Maize","YILD",6.612924442977
"FAO","BRA","FAO Historical","2004","Maize","YILD",3.367065149
"FAO","CHN","FAO Historical","2004","Maize","YILD",5.121603025
"FAO","EUR","FAO Historical","2004","Maize","YILD",6.87655685321722
"FAO","IND","FAO Historical","2004","Maize","YILD",1.907299742
"FAO","OSA","FAO Historical","2004","Maize","YILD",3.23166152203849
"FAO","SEA","FAO Historical","2004","Maize","YILD",3.06636539508373
"FAO","SSA","FAO Historical","2004","Maize","YILD",1.55253700879035
"FAO","USA","FAO Historical","2004","Maize","YILD",10.06363783
"FAO","WLD","FAO Historical","2004","Maize","YILD",4.943982745
"FAO","ANZ","FAO Historical","2005","Maize","YILD",6.87515824750298
"FAO","BRA","FAO Historical","2005","Maize","YILD",3.040264948
"FAO","CHN","FAO Historical","2005","Maize","YILD",5.288189505
"FAO","EUR","FAO Historical","2005","Maize","YILD",6.83525913050788
"FAO","IND","FAO Historical","2005","Maize","YILD",1.938497424
"FAO","OSA","FAO Historical","2005","Maize","YILD",3.57636281484951
"FAO","SEA","FAO Historical","2005","Maize","YILD",3.1253974552581
"FAO","SSA","FAO Historical","2005","Maize","YILD",1.5257068054107
"FAO","USA","FAO Historical","2005","Maize","YILD",9.285195631
"FAO","WLD","FAO Historical","2005","Maize","YILD",4.819519522
"FAO","ANZ","FAO Historical","2006","Maize","YILD",6.34350379271175
"FAO","BRA","FAO Historical","2006","Maize","YILD",3.382331647
"FAO","CHN","FAO Historical","2006","Maize","YILD",5.621650786
"FAO","EUR","FAO Historical","2006","Maize","YILD",6.34203386795577
"FAO","IND","FAO Historical","2006","Maize","YILD",1.912465163
"FAO","OSA","FAO Historical","2006","Maize","YILD",3.26350043381363
"FAO","SEA","FAO Historical","2006","Maize","YILD",3.23631607821933
"FAO","SSA","FAO Historical","2006","Maize","YILD",1.59571475832273
"FAO","USA","FAO Historical","2006","Maize","YILD",9.357603444
"FAO","WLD","FAO Historical","2006","Maize","YILD",4.816428038
"FAO","ANZ","FAO Historical","2007","Maize","YILD",6.45766878579576
"FAO","BRA","FAO Historical","2007","Maize","YILD",3.785188198
"FAO","CHN","FAO Historical","2007","Maize","YILD",5.167198346
"FAO","EUR","FAO Historical","2007","Maize","YILD",5.64022826226788
"FAO","IND","FAO Historical","2007","Maize","YILD",2.335185345
"FAO","OSA","FAO Historical","2007","Maize","YILD",3.76511904791074
"FAO","SEA","FAO Historical","2007","Maize","YILD",3.37605205744713
"FAO","SSA","FAO Historical","2007","Maize","YILD",1.57546517114942
"FAO","USA","FAO Historical","2007","Maize","YILD",9.458421269
"FAO","WLD","FAO Historical","2007","Maize","YILD",4.989707836
"FAO","ANZ","FAO Historical","2008","Maize","YILD",6.86533359608195
"FAO","BRA","FAO Historical","2008","Maize","YILD",4.079962092
"FAO","CHN","FAO Historical","2008","Maize","YILD",5.556128064
"FAO","EUR","FAO Historical","2008","Maize","YILD",6.83161987452058
"FAO","IND","FAO Historical","2008","Maize","YILD",2.413981257
"FAO","OSA","FAO Historical","2008","Maize","YILD",3.76878477851519
"FAO","SEA","FAO Historical","2008","Maize","YILD",3.49343573922155
"FAO","SSA","FAO Historical","2008","Maize","YILD",1.73975493412197
